AreaID,AnalysisAreaName
0,
1,Alpine
2,Alta
3,American Fork
4,Bluffdale
5,Bountiful
6,Brigham City
7,Cedar Fort
8,Cedar Hills
9,Centerville
10,Clearfield
11,Clinton
12,Copperton
13,Cottonwood Heights
14,Draper
15,Eagle Mountain
16,Elk Ridge
17,Emigration Canyon
18,Fairfield
19,Farmington
20,Farr West
21,Fruit Heights
22,Genola
23,Goshen
24,Harrisville
25,Herriman
26,Highland
27,Holladay
28,Hooper
29,Kaysville
30,Kearns
31,Layton
32,Lehi
33,Lindon
34,Magna
35,Mapleton
36,Marriott-Slaterville
37,Midvale
38,Millcreek
39,Murray
40,North Ogden
41,North Salt Lake
42,Ogden
43,Orem
44,Payson
45,Plain City
46,Pleasant Grove
47,Pleasant View
48,Provo
49,Riverdale
50,Riverton
51,Roy
52,Salem
53,Salt Lake City
54,Sandy
55,Santaquin
56,Saratoga Springs
57,South Jordan
58,South Ogden
59,South Salt Lake
60,South Weber
61,Spanish Fork
62,Springville
63,Sunset
64,Syracuse
65,Taylorsville
66,Uintah
67,Utah County
68,Vineyard
69,Washington Terrace
70,West Bountiful
71,West Haven
72,West Jordan
73,West Point
74,West Valley City
75,White City
76,Woodland Hills
77,Woods Cross
